Processing esp32-s3-devkitc-1 (platform: espressif32; board: esp32-s3-devkitc-1; framework: espidf)
--------------------------------------------------------------------------------
--- Terminal on /dev/cu.usbmodem5C371999181 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
I (34190) M1L6: Read value RAW: 3967, calculated: 3196, calibrated: 3126. Error = -2% at 33961ms
I (34290) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 34061ms
I (34390) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 34161ms
I (34490) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 34261ms
I (34590) M1L6: Read value RAW: 4095, calculated: 3300, calibrated: 3173. Error = -4% at 34361ms
I (34690) M1L6: Read value RAW: 4066, calculated: 3276, calibrated: 3163. Error = -3% at 34461ms
I (34790) M1L6: Read value RAW: 3914, calculated: 3154, calibrated: 3104. Error = -1% at 34561ms
I (34890) M1L6: Read value RAW: 2578, calculated: 2077, calibrated: 2200. Error = 6% at 34661ms
I (34990) M1L6: Read value RAW: 2196, calculated: 1769, calibrated: 1881. Error = 6% at 34761ms
I (35090) M1L6: Read value RAW: 2067, calculated: 1665, calibrated: 1772. Error = 7% at 34861ms
I (35190) M1L6: Read value RAW: 2073, calculated: 1670, calibrated: 1775. Error = 6% at 34961ms
I (35290) M1L6: Read value RAW: 2100, calculated: 1692, calibrated: 1800. Error = 6% at 35061ms
I (35390) M1L6: Read value RAW: 2099, calculated: 1691, calibrated: 1798. Error = 6% at 35161ms
I (35490) M1L6: Read value RAW: 2095, calculated: 1688, calibrated: 1795. Error = 6% at 35261ms
I (35590) M1L6: Read value RAW: 2099, calculated: 1691, calibrated: 1798. Error = 6% at 35361ms
I (35690) M1L6: Read value RAW: 2100, calculated: 1692, calibrated: 1800. Error = 6% at 35461ms
I (35790) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 35561ms
I (35890) M1L6: Read value RAW: 2088, calculated: 1682, calibrated: 1790. Error = 7% at 35661ms
I (35990) M1L6: Read value RAW: 2091, calculated: 1685, calibrated: 1791. Error = 6% at 35761ms
I (36090) M1L6: Read value RAW: 2091, calculated: 1685, calibrated: 1791. Error = 6% at 35861ms
I (36190) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 35961ms
I (36290) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 36061ms
I (36390) M1L6: Read value RAW: 2087, calculated: 1681, calibrated: 1788. Error = 6% at 36161ms
I (36490) M1L6: Read value RAW: 2088, calculated: 1682, calibrated: 1790. Error = 7% at 36261ms
I (36590) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 36361ms
I (36690) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 36461ms
I (36790) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 36561ms
I (36890) M1L6: Read value RAW: 2088, calculated: 1682, calibrated: 1790. Error = 7% at 36661ms
I (36990) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 36761ms
I (37090) M1L6: Read value RAW: 2091, calculated: 1685, calibrated: 1791. Error = 6% at 36861ms
I (37190) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 36961ms
I (37290) M1L6: Read value RAW: 2088, calculated: 1682, calibrated: 1790. Error = 7% at 37061ms
I (37390) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 37161ms
I (37490) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 37261ms
I (37590) M1L6: Read value RAW: 2091, calculated: 1685, calibrated: 1791. Error = 6% at 37361ms
I (37690) M1L6: Read value RAW: 2091, calculated: 1685, calibrated: 1791. Error = 6% at 37461ms
I (37790) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 37561ms
I (37890) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 37661ms
I (37990) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 37761ms
I (38090) M1L6: Read value RAW: 2088, calculated: 1682, calibrated: 1790. Error = 7% at 37861ms
I (38190) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 37961ms
I (38290) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 38061ms
I (38390) M1L6: Read value RAW: 2088, calculated: 1682, calibrated: 1790. Error = 7% at 38161ms
I (38490) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 38261ms
I (38590) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 38361ms
I (38690) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 38461ms
I (38790) M1L6: Read value RAW: 2091, calculated: 1685, calibrated: 1791. Error = 6% at 38561ms
I (38890) M1L6: Read value RAW: 2090, calculated: 1684, calibrated: 1791. Error = 6% at 38661ms
I (38990) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 38761ms
I (39090) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 38861ms
I (39190) M1L6: Read value RAW: 2090, calculated: 1684, calibrated: 1791. Error = 6% at 38961ms
I (39290) M1L6: Read value RAW: 2088, calculated: 1682, calibrated: 1790. Error = 7% at 39061ms
I (39390) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 39161ms
I (39490) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 39261ms
I (39590) M1L6: Read value RAW: 2090, calculated: 1684, calibrated: 1791. Error = 6% at 39361ms
I (39690) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 39461ms
I (39790) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 39561ms
I (39890) M1L6: Read value RAW: 2092, calculated: 1685, calibrated: 1792. Error = 6% at 39661ms
I (39990) M1L6: Read value RAW: 2091, calculated: 1685, calibrated: 1791. Error = 6% at 39761ms
I (40090) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 39861ms
I (40190) M1L6: Read value RAW: 2092, calculated: 1685, calibrated: 1792. Error = 6% at 39961ms
I (40290) M1L6: Read value RAW: 2091, calculated: 1685, calibrated: 1791. Error = 6% at 40061ms
I (40390) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 40161ms
I (40490) M1L6: Read value RAW: 2092, calculated: 1685, calibrated: 1792. Error = 6% at 40261ms
I (40590) M1L6: Read value RAW: 2089, calculated: 1683, calibrated: 1790. Error = 6% at 40361ms
I (40690) M1L6: Read value RAW: 2092, calculated: 1685, calibrated: 1792. Error = 6% at 40461ms
I (40790) M1L6: Read value RAW: 2091, calculated: 1685, calibrated: 1791. Error = 6% at 40561ms
I (40890) M1L6: Read value RAW: 2091, calculated: 1685, calibrated: 1791. Error = 6% at 40661ms
I (40990) M1L6: Read value RAW: 2090, calculated: 1684, calibrated: 1791. Error = 6% at 40761ms
I (41090) M1L6: Read value RAW: 2093, calculated: 1686, calibrated: 1794. Error = 7% at 40861ms
I (41190) M1L6: Read value RAW: 2090, calculated: 1684, calibrated: 1791. Error = 6% at 40961ms
I (41290) M1L6: Read value RAW: 2091, calculated: 1685, calibrated: 1791. Error = 6% at 41061ms
I (41390) M1L6: Read value RAW: 2091, calculated: 1685, calibrated: 1791. Error = 6% at 41161ms
